2 X X # 2 X X # 3 X X # 2 X X # 1 X X # 1 X X	bring the brown stack	2 3 X # 2 3 X # 3 X X # 2 3 X # 1 X X # 1 X X
2 3 X # 2 3 X # 3 X X # 2 3 X # 1 X X # 1 X X	go to the next one	2 3 3 # 2 3 3 # 3 3 X # 2 3 3 # 1 X X # 1 X X
1 X X # 0 X X # 2 X X # 3 X X # 0 X X # 2 X X	one!	1 X X # 0 X X # 2 X X # 3 3 X # 0 X X # 2 X X
1 X X # 0 X X # 2 X X # 3 3 X # 0 X X # 2 X X	put down the one that is on the first layer	1 X X # 0 X X # 2 X X # 3 3 3 # 0 X X # 2 X X
1 X X # 0 X X # 2 X X # 3 3 X # 0 X X # 2 X X	put down the one that is on the first layer	1 3 X # 0 3 X # 2 3 X # 3 3 X # 0 3 X # 2 3 X
1 X X # 0 X X # 2 X X # 3 X X # 0 X X # 2 X X	start the game	1 X X # 0 X X # 2 X X # 3 3 X # 0 X X # 2 X X
1 X X # 0 X X # 2 X X # 3 3 X # 0 X X # 2 X X	go back	1 X X # 0 X X # 2 X X # 3 3 3 # 0 X X # 2 X X
1 X X # 0 X X # 2 X X # 3 X X # 0 X X # 2 X X	fill the empty one	1 3 X # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X
1 X X # 0 X X # 2 X X # 3 X X # 0 X X # 2 X X	one	1 3 X # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X
1 3 X # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X	fill the next one	1 3 0 # 0 3 0 # 2 3 0 # 3 0 X # 0 3 0 # 2 3 X
1 3 X # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X	fill the next one	1 3 0 # 0 3 0 # 2 3 0 # 3 0 X # 0 3 0 # 2 3 X
1 3 X # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X	fill with new ones	1 3 X # 0 X X # 2 X X # X X X # 0 X X # 2 X X
1 3 X # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X	fill with new ones	1 3 1 # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X
1 3 X # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X	fill with new ones	1 3 1 # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X
1 3 X # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X	fill with new ones	1 3 1 # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X
1 3 X # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X	fill with new ones	1 3 1 # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X
1 3 X # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X	fill with new ones	1 3 1 # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X
1 3 X # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X	fill with new ones	1 3 1 # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X
1 3 X # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X	fill with new ones	1 3 X # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X
1 3 X # 0 3 X # 2 3 X # 3 X X # 0 3 X # 2 3 X	fill with new ones	1 3 2 # 0 3 2 # 2 3 2 # 3 2 X # 0 3 2 # 2 3 2
1 X X # 1 X X # 1 X X # 3 X X	put	1 X X # 1 X X # 1 X X # 3 X X
1 X X # 1 X X # 1 X X # 3 X X	done	1 X X # 1 X X # 1 X X # 3 X X
1 X X # 1 X X # 1 X X # 3 X X	repeat	1 X X # 1 X X # 1 X X # X X X
2 X X # 2 X X # 0 X X # 2 X X # 0 X X # 0 X X	enter	2 X X # 2 X X # 0 X X # 2 X X # 0 X X # 0 0 X
2 X X # 3 X X # 2 X X # 2 X X # 2 X X # 2 X X	start	X X X # 3 X X # X X X # X X X # X X X # X X X
0 X X # 0 X X # 0 X X # 1 X X # 0 X X # 0 X X	next	0 1 X # 0 1 X # 0 1 X # 1 X X # 0 1 X # 0 1 X
0 X X # 3 X X # 0 X X # 0 X X # 0 X X # 3 X X	proceed	0 X X # X X X # 0 X X # 0 X X # 0 X X # X X X
0 X X # 3 X X # 0 X X # 3 X X # 0 X X # 0 X X	further proceed	0 X X # 3 X X # 0 X X # 3 X X # 0 X X # X X X
3 X X # 1 X X # 3 X X # 1 X X	next	3 X X # 1 X X # 3 X X # X X X
2 X X # 2 X X # 2 X X # 3 X X	proceed once again	X X X # 2 X X # 2 X X # 3 X X
0 X X # 0 X X # 3 X X # 3 X X # 3 X X	two more time'	X X X # 0 X X # 3 X X # 3 X X # 3 X X
